id,name,type,root
591aa0b1b046a0b787211751,B. S. Nagesh,crunchbase,
596590420ec47710a935643f,B&D Capital,manualEntry,
Ro5aFf2tixjvCWEJ4,B Dash Ventures,crunchbase,
P2mXDHpNWhXpxvWoT,B Capital Group,crunchbase,
3D3zsQpatSWkkNomG,Azmi Global,crunchbase,
58e6647dc8239b6571d50b23,Axon Partners Group,crunchbase,
36qmgobpQdpagYxbw,AXL Strategic Partners,manualEntry,
58da2e6798ccdb22667a3c96,Axis Capital Holdings Limited,crunchbase,
gDeKSxnze6HaT7CL2,Axis Capital Corp,manualEntry,
a3ikZMjS7C8q2zjPg,Axis Bank,crunchbase,
Mc9EvGFk7rPgn5uec,Axilor Ventures,crunchbase,
yTmACxgJDE92XnkuK,Axiata Digital Innovation Fund,manualEntry,
58dcd9db99dfeb0ee7aa38ea,Axiata,crunchbase,
58d87653039b1ad914004188,Axcel Partners,crunchbase,
vgN8M2M2kxaRZaL4g,AWI Ventures,crunchbase,
595f34c12970b069f926a85a,Avlesh Singh,manualEntry,
58eda4f2ec9311236da52007,Avinash Vashistha,crunchbase,
8Da9YucvJF2pfDubK,Avik Barat,manualEntry,
58e59e0350b5126a649a69d5,Avijeet Alagathi,crunchbase,
qQ9kZMb7NjCYNeHEH,AVIC Trust,manualEntry,
tqoR7tebfMmNoyZBh,Aviation Industry Corp. of China,crunchbase,
fMKQANHzsqzjZ7BNu,AV Capital (信天创投),manualEntry,
ioc8v62QsFPJ9B2jk,Autohome (汽车之家),manualEntry,
591977f99986114158805d03,Autobot Capital Partners,manualEntry,
5y5oEqZAfnbz8HXY3,Australian Renewable Energy Agency,manualEntry,
KBzx6AxXH9iw3afB5,Australian Ethical Investment,crunchbase,
dMcT7SJXGsEamXhtq,Australian Distributed Incubator,crunchbase,
tgkZaYrPvtrh6RokZ,Australian Capital Equity,crunchbase,
da9zfMmb5jXpHEc2f,Australia Cooperative Research Centres Association,manualEntry,
Cvj43mDZwGSZmjP7v,Austin Ligon,crunchbase,
QhibZciQjQnoqnZLa,AussieCommerce Group,manualEntry,
F2ekExtzMtsoPyFoF,Aureos Capital,manualEntry,
rK2F68mEWWHCT579N,Aura Funds Management,manualEntry,
zoJ9rB4G7Fou8vhsW,August Capital Partners,crunchbase,
LjHA5N8bRCg2x7p3T,Augment Ventures,manualEntry,
MZwJ7NtZ5nEpGSndG,aucfan Co.,manualEntry,
58e67239ddbdae27448b5b5a,Atul Singh,crunchbase,
Dqcexe6pEsprYpwky,Atul Nishar,crunchbase,
58e49e048c3408f952f57b5f,Atul Jalan,crunchbase,
nn2raXCerkyJeyDuW,Atul Jain,crunchbase,
591ea1a62ea04ccec55a84c4,Atul Ingle,crunchbase,
58e20487fa2698d60adc41ac,Atul Goel,crunchbase,
TPf2GqWRKRRaWeumM,Atomico,crunchbase,
EzqrQ5LsEQ6iAL59S,Atom Ventures (原子创投),manualEntry,
58da4f51ffbba5c8b86ed928,Athene Capital,manualEntry,
595d9efa9ff3b569a7b5eadf,Athamus,manualEntry,
GMXoYnXXAGbiscvmG,ATA Group,manualEntry,
2bzrRi4xxisD8YmtT,AT Capital,crunchbase,
58db2502621f7b6d2d1a4725,Astarc Ventures,manualEntry,
tY5aBcSEGHfJroW6i,Assurant,crunchbase,
Cgga6qgfAkeEDFtFi,Aspiration Growth,crunchbase,
iQMDwmH8vpqh8nWR2,Aspada,crunchbase,
LTr9rxFCJaxsPpuEu,Aslanoba Capital,crunchbase,
5908380b8bb42cf4f603ed32,ASK Pravi,crunchbase,
5943a18b8be89afd5fe30c89,ASK Group,manualEntry,
DARmBn398g729ZPDi,Asiasoft,crunchbase,
591c18a15afbe6b3651e189c,Asia-Pac eCommerce,manualEntry,
58db13a4cded60a776e08fea,Asian Healthcare Fund,crunchbase,
595de9714d0f8ba52bf0da92,Asian E-Commerce Alliance,crunchbase,
595f09aac720dfc38e54fd93,Asian Development Bank,crunchbase,
CEqyda4cyuib65LKt,Asian Alliance Investment,manualEntry,
69rZXxHJpkwMFdHyK,Asia Venture Group,crunchbase,
FWex9wNygoqRFgHt3,Asia Plus,crunchbase,
58eedb758717992f8ba23bde,Asia Pacific Internet Group,crunchbase,
ZKG388avCpMZvzEjX,Asia Pacific Capital,manualEntry,
kb9qWDiykeCDbhnPN,Asia Cleantech Capital Ltd,crunchbase,
59223f929631a657e2256066,Asia Capital & Advisors,manualEntry,
58e204876e670cd857a499f3,Ashwin Pai,crunchbase,
592789e753ab9bc48bcd133e,Ashwin Amarapur,crunchbase,
593f54ca9ca0c9b897cefb26,Ashvin Chadha,manualEntry,
AW3Y6AYTToEMbtviS,Ashton Kutcher,crunchbase,
mM8c3mewtj5NFfLe5,Ashok Melwani,crunchbase,
591520708c4bdbd6ef279bbd,Ashok Agarwal,crunchbase,
zWa8rfsv7wCm3Nd6n,Ashish Tulsian,crunchbase,
eSYuPp4J4Tqmf7w3g,Ashish Jhalani,crunchbase,
58cb9266defc0b0e630afffd,Ashish Hemrajani,crunchbase,
595ef7166595de117cd8d644,Ashish Gupta,manualEntry,
58c649d658b93be4ab111fe7,Ashish Goenka,crunchbase,
