id,name,type
3ysjJEiiqkMT8SHC6,Jumei.com,manualEntry
4foxGZaKvKzNmAz2W,Arc90,crunchbase
4hnKAE3s3ANHpFyT7,SMC Holdings,crunchbase
4srys7YLZ7aNWcrMg,Ravi Mantha,crunchbase
52Cmii85TwfTbsW97,CICC Group (前海中金基金),manualEntry
58fk7vecuCwPvFQwr,CA创投,manualEntry
5XHrZc7EQNpEww394,Anupam Mittal,crunchbase
5cjsoAxKQm3CPbEi9,TriplePoint Capital,crunchbase
5yJAHWLJCGAihzLSv,Right Click Capital,crunchbase
66wFAQabRfrdW33Ki,Leo Tech,manualEntry
69rZXxHJpkwMFdHyK,Asia Venture Group,crunchbase
6TC45sXa2syg56Xtf,Amoeba Capital (阿米巴基金),manualEntry
7HNKWAD79ngvPK4NR,TransCosmos,crunchbase
7aAr5TyXukxWdDv5e,Triumph Capital,crunchbase
7x9dtF82LSzW9GGsb,Beijing Gehua CATV Network (歌华有线),manualEntry
8AymTBCd74C4nfz95,CAP Vista,crunchbase
8Jss4mKQfqRb7nzZJ,Citi Ventures,crunchbase
8RFPKAgwWHisiYRgL,Ramanan Raghavendran,manualEntry
8d53kcchXfPRg6yHN,Signatures Capital,crunchbase
8wg8nxZLQLq7vZh2F,Meridian Capital China (华映资本),manualEntry
97int5qCunB6AosXR,iMENA Group,crunchbase
9HCMWXv3KWLzp7rSS,Benjamin Ling,crunchbase
9HiSzGrbtiMC2omZM,Shelli Trung,crunchbase
A37Gftx3zixoMMCv4,HAX,manualEntry
2Bd9N437G5FGuDShv,GWC,manualEntry
2JkxBeQZdnNdqyeGz,VTB Capital Investment Management,crunchbase
2Qg86uzrcZHiPmxLi,Pavilion Capital International,manualEntry
2fXo9gDYxoJcLAFdf,Zheshang Venture Capital (浙商创投),manualEntry
2jw9BCo4LwDH4nAbt,Sino-Alliance International,manualEntry
2kRkWLBwyvojKujbz,Amp Capital Partners,crunchbase
32YxKnpHAga2hQ2Ma,IAC,crunchbase
3qHbSHocbW7mekvHv,Easy Capital Partners (上海融翼资本),manualEntry
4YGbrKu49qBvfSM83,China Merchants Capital (招商局),manualEntry
4dDWDJXRr69q7qNkr,Guohong Jiaxin Ventures (国宏嘉信),manualEntry
4pLsm48G33PahPSkF,Vega Properties,crunchbase
4r6XWGufskZzFMxEs,Triplestar Capital,crunchbase
5xJKNkZY8jKsFudZN,Ipung Kurnia,manualEntry
62REgCiNc6CurNT3v,India Alternatives Private Equity Fund,crunchbase
64ZTqp9Kq36FnjcHb,Skychee (天奇阿米巴基金),manualEntry
6hvauNM66WXpEtgwc,Chun Xiao Capital (春晓资本),manualEntry
799JWd43bd53fRdaW,Daniel Shin,manualEntry
7Pvb5r93eG7iCq2E6,约印创投,manualEntry
7t63bTQnKrZDzxr4L,Dasha Zhukova,crunchbase
8fPi8mn2Ku5STq6ph,Cameron Wall,crunchbase
8q5QNZAchJDJfCBuz,Northwestern Mutual,crunchbase
9qf7uNDMBjQdWC2HA,TusPark Ventures (启迪创投),manualEntry
2hkyCd5PNt93kvTKB,Herbert Chang,crunchbase
34hcCd9TTqvsh9GCm,Red Dot Ventures,crunchbase
3A5qogFYQwQ8hTrcL,Peakview Capital,crunchbase
3GanpyTAtg5WpkAu4,Lightspeed China Partners (光速安振),manualEntry
4TbHHdLv9gGgCALG6,Qunar.com,crunchbase
4vpqTmuj7rG8Nposh,Nick Gundry,crunchbase
4wq5uAifZyyzCzgJx,HV Holtzbrinck Ventures,crunchbase
5fefPyjRrFNZtmQGM,Capital Union Investments,crunchbase
79HctF2oryGQ4gEQq,Stuart McLeod,crunchbase
7C7rfgDuvs9BT4JTR,Lakestar,crunchbase
7Fvn6AWD97vm7Ew6s,Mark Vernon,manualEntry
7oq3AkSBEauuXstNF,Adventure Capital,crunchbase
7os9YTc37QyePWK6w,Breakthrough Lab,crunchbase
8H4T4sLxhdfoPJMQh,Michael Dempsey,crunchbase
8T8egrBA57R8krijJ,Guy King,crunchbase
8dYFjY8TetMZPHsLf,Wanda Group (万达集团),manualEntry
8r7FQdECbzmsj4Zy8,Darren Wang,crunchbase
8sAGDHLhL8LAqXANk,Adams Street Partners,crunchbase
8yFmot8czyHTXSrsp,Temasek Holdings,crunchbase
92MhLncA3Qtid7zae,Beijing Kunlun Tech Co Ltd (北京昆仑万维),manualEntry
94pgNFyQdHXY5AYJK,Gunosy,manualEntry
9KsoTWsTehKNcun8A,Nest Ventures,manualEntry
9Zk7LKBN8jmNwu8mv,E-House China (易居资本),manualEntry
9xYorzoChrhtgTwbk,Carthona Capital,crunchbase
9xjCM3DNFtY6JJAPf,Artesian Capital Management,crunchbase
A9ywTz9e8xft6b48Y,CCI Fund (上海中金资本),manualEntry
2GF57DAgyybSB39KM,Ru-net,crunchbase
2Tz2TpMLvi9kZmaHG,Broad Resources (博润投资),manualEntry
2cKm5yjrRLbA2zsGE,Xunlei (迅雷),manualEntry
2cPEvra8MuQxtuhHm,MediaTek,crunchbase
2h3Xuay4x6ifk8r6S,Integral富厚投资,manualEntry
2kH42bkzkTYroGobv,Blibli.com,manualEntry
